######################################
# Bloody Rally Show translations file 
# Locale: English
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,ブレイス・ストーン
cut.freedom.3,*夕日に向かって歩き去る...いつの日か、{0}は再びこの地獄に舞い戻ることになるだろうと知りながら...*
# When player has no car, he will say he has to clean the blood off his shoes
cut.freedom.shoes,靴

### Campaign Season Finished

# {0} - player name
cut.season.alive1.1,なんてこった、どうやったんだ{0}？ 貴様のせいでシーズンを早く終わらせなきゃならん！
# {0} - clowns
cut.season.alive1.2,なんて言うか...あいつら、マジで{0}ばっかりだったな。
cut.season.alive1.3,仕方がないようだな。貴様はずっと俺のお気に入りだった。SOFACTには貴様みたいな人材が必要だ。レーサー人生が終わったら仕事をオファーするかもな。
cut.season.alive1.4,光栄だが、今はまたタイヤを焦がすほうに戻りたい。それじゃ、またな！ 次はもっと手強い相手を用意してくれ。

cut.season.1,諸君、シーズンはこれで終わりだ！ 帰っていいぞ、お前ら。
cut.season.cheer.1,やっとか！
cut.season.cheer.2,うっひょー！
cut.season.cheer.3,よっしゃ！
cut.season.cheer.4,おお、ついに！
cut.season.cheer.5,この日を待っていたんだ！
cut.season.cheer.6,めっちゃ嬉しい！
cut.season.cheer.7,バンザーイ！
cut.season.cheer.8,イエェェェス！
cut.season.cheer.9,やったああ！
# {0} clowns {1} - fools
cut.season.2,帰っていいぞ？ ああ、帰っていい！ お前らここから生きて出られると思っているのか、{0}ども！ 次のシーズンは明日からだ。錆びたバケツを磨いてレースに備えて並べておけ。帰るだってよ、ハハハ。{1}どもがよ...

### Campaign Fail 

cut.fail.boo.1,ブー！
cut.fail.boo.2,負け犬が！
cut.fail.boo.3,誰だよ、それ？
cut.fail.boo.4,ざんねん〜
cut.fail.boo.5,ブーーーー！
cut.fail.boo.6,ダッセェ！
cut.fail.boo.7,誰だよ、あれは？

cut.fail.cry.1,やめろおお！
cut.fail.cry.2,なんで！
cut.fail.cry.3,つらい...
cut.fail.cry.4,お前のこと気に入っていたのに...
cut.fail.cry.5,ずっと忘れないからな！
cut.fail.cry.6,そんな、残念な...
cut.fail.cry.7,信じられないよ...

cut.fail.1,さあ諸君、シーズン終了だ！ さて、ここに“有名人”がいる――トップ3にも入れなかったな。{0}め、またしても冷凍睡眠に逆戻りだ！
cut.fail.2,自分のことだな。本当にすまん...
# {0} - racer name, {1} - clowns, {2} - bacon burger {3} - vegan olive oil
cut.fail.3,よぉーし、感動のシーンはそこまでだ！ {0}、警備がキサマを冷凍庫まで連れていってやる！ それから残りの{1}ども、とっとと散れ！ さもないとヘルメットに{2}を詰め込んで、バイザーに{3}を塗りたくってやるからな！

#######################################
### Dialogs and in-game messages

# Please check that you are using same terms as main_menu.btn.settings / settings.gameplay, etc
dial.discord_post_permission,あなたのスコアをブラッディ・ラリー・ショーのDiscordに投稿してもいいですか？<br>Steamのニックネームやコースごとのタイム、挑戦回数が表示されます。<br>設定はいつでも「設定」>「ゲームプレイ」>「Discordに投稿」で変更できます。
dial.time_attack_car_locked,選択しようとしたマシンは未解放です。まずはキャンペーンでレーサーのレベルを上げてアンロックしましょう！
dial.camp.corrupted_save_files,壊れたセーブファイル（キャンペーン）を発見しました：{0}
dial.camp.load_fail,セーブデータの読み込みに失敗：{0}<br>{1}
dial.camp.not_enough_cash,所持金不足です！

# {0} - clowns
dial.camp.lucky1.1,よお、{0}。今日は気前よくいくぞ！
# {0} - clowns
dial.camp.lucky1.2,貴様らの中に、命がけで写真撮ってるあの{0}どもみたいな金欠もいるな。
# {0} - clowns
dial.camp.lucky1.3,おい、そこの{0}ども、列に並べ！ だーれーにー、しよーかーなー？
# {0} - friggin (adjective)
dial.camp.lucky1.4,いい気分だな！ SOFACTについてデタラメ書いてた{0}ジャーナリストが貴様らのせいで担架で運ばれていったぞ！
# {0} - clowns
dial.camp.lucky1.5,くっそ、ポケットの中がカネでパンパンだぜ。置き場所もねぇから、貴様ら{0}どもに少し恵んでやるか...
# {0} - beef bacon burger, {1} - clowns
dial.camp.lucky1.6,貴様らの知ってる通り、俺は{0}ビジネスをやっている。貴様ら{1}どもの誰かが前のレースでライバル会社のCEOを始末してくれたようだな！
# {0} - clowns, {1} - vegan olive oil
dial.camp.lucky1.7,貴様ら{0}どもの1人にちょっとしたプレゼントをした。シートに{1}をまみれにしておいたのに、全然気づかねぇ！ ハハハ！ 最高だ！ まあ、埋め合わせはしてやろう。

# in this block {0} is always racer name ${1} is cash amount
dial.camp.lucky2.1,ツイてる当選者は......{0}だ！ おめでとう。${1}をやろう！
dial.camp.lucky2.2,{0}、こっちに来い！ ${1}をくれてやる。だが、タダじゃない。後で少し働いてもらうぞ
dial.camp.lucky2.3,{0}！ ほらよ、${1}だ！ 好きなものを買え
dial.camp.lucky2.4,{0}！ ${1}だ！ とっとと、うせろ
dial.camp.lucky2.5,{0}、${1}を受け取れ。ご苦労だったな！
dial.camp.lucky2.6,この栄えある賞金${1}の当選者は、{0}だ。一気に使うなよ？
dial.camp.lucky2.7,{0}...お前は正直気に入らんが、ほら${1}だ。その代わり、あとで少し依頼をする。ヤバいことではない、たぶんな

# {0} - name, ${1} - cash amount
dial.camp.resurrected,レーサーの{0}は救護班によって${1}でよみがえった
dial.camp.resurrect_no_cash,レーサーの{0}は治療を受けるのに必要なお金がありませんでした。ご愁傷様です。
# {0} - clowns
dial.camp.all_broke,{0}ども、貴様らどうやって一気に破産したんだ？ 残念ながら、ショーは続くぞ。SOFACTがお前らクソどもに$20000ずつ恵んでやる。好きに使え。
# {0} - name, {1} - clown
dial.camp.early_win,おいおい、{0}。こいつ皆殺しにしやがった！ 今シーズンは早期終了だ。ざまあみろか、この{1}。貴様の勝ちだ！
dial.camp.on_camp_fail,残念だが、続行するにはトップ3に入る必要がある。しかも${0}を返す金もないだろ...ゲームオーバーだ、この野郎。
dial.camp.congrats_free_man,おめでとう！ 自由の身だ！
dial.camp.freedom_not_enough_cash,残念ながら金が足りんぞ！ 次のシーズンでもっと稼げ。
dial.camp.exit_confirm,キャンペーンを本当に終了するか？ 進行状況は保存しておいてやる。
dial.camp.card.no_regen,既にレースが終了したステージは再生成できんぞ！
# {0} - some track name. keep the quotes 
dial.camp.card.saved_already,コース"{0}"はすでにコレクションにある。置き換えるか？
dial.camp.card.saved,コース"{0}"をコレクションに追加したぞ！
dial.camp.card.no_walk_completed,レースが終了したステージを歩き回ることはできんぞ！
dial.camp.card.no_walk_special,特殊ステージは歩き回ることができんぞ！
# {0} - name
dial.camp.card.go_ped_confirm,ちょっと待て、{0}。マシンがないのか！ 歩いてレースに出るつもりか？
# {0} - list of names (john, smith, peter)
dial.camp.card.some_peds_confirm,何人かのレーサーは車を持ってないぞ！({0})。 こいつらは歩行者としてレースに出ることになるな。いいのか？
dial.camp.card.some_peds,ステージ参加費を払えないレーサーどもがいるな。歩行者としてレースに参加することになるぞ: {0}

dial.paint.no_1k,カネが$1000ないぞ！

dial.upgrade.not_in_time_attack,タイムアタックではチューニングは変更できんぞ。
dial.upgrade.week_over,整備士がすでに作業中だ。今週はもうアップグレードはできん！
dial.upgrade.already_done,前回のアップグレードでまだ作業中だ！ 次のステージを終えてから来い。
dial.upgrade.no_cash,アップグレードするにはカネが足りんぞ！

dial.camp.load_finished,このキャンペーンは終わったぞ。本当に続けるのか？
dial.camp.delete_confirm, このキャンペーンは削除していいか？
dial.camp.name_required,キャンペーン名を入力しろ！
dial.camp.name_taken,その名前のキャンペーンは、もうあるぞ！

dial.camp.gratitudes.1,ありがとう！
dial.camp.gratitudes.2,うおっ！最高かよ！
dial.camp.gratitudes.3,マジで！？ありがとう！
dial.camp.gratitudes.4,ありがと！！
dial.camp.gratitudes.5,借りができたな！
dial.camp.gratitudes.6,アンタ、マジで最高だ！
dial.camp.gratitudes.7,この恩は忘れないぞ
dial.camp.gratitudes.8,俺、何かしたっけ？
dial.camp.gratitudes.9,一生の借りだ！
dial.camp.gratitudes.10,いいね！ 助かる！
dial.camp.gratitudes.11,ナイス！

dial.camp.no_cash.1,クソガキが、財布カラッポじゃねーか！
dial.camp.no_cash.2,なにやってんだ、そんなんじゃ誤魔化せねえぞ！
dial.camp.no_cash.3,バカにしてんのか？ てめぇの財布の中を見てみろ！
dial.camp.no_cash.4,おやおや、カネが足りてねえな。
dial.camp.no_cash.5,お前、そんなに持ってねーだろ...
dial.camp.no_cash.6,破産させたくはないんでな。悪いが。
dial.camp.no_cash.7,カネが全然足りねえぞ！

dial.race.missing_bindings,おい、プレイヤー{0}({1})のコントローラー設定が足りんぞ！ 設定 > 入力 からレース用コントロールを確認して直してこい！
dial.race.missing_bindings_ped,おい、プレイヤー{0}({1})のキー設定が足りんぞ！ 設定 > 入力 から歩行者用コントロールを確認して直してこい！
# {0} - clown
dial.race.ped_death,救護班、こっちだ！ {0}がやられた！ 治療費を払えるだけのカネがあればいいが...

dial.ed.no_cars,まだ保有しているマシンがありません！ まずは新しいマシンを作成して保存しましょう。
dial.ed.name_the_car,新しいマシン名
dial.ed.car_name,マシン名

dial.ed.car_sprites_missing,必要なスプライトが足りん！ マシンのMod作成ガイドを参照し、次のファイルを作成しろ：{0}
dial.ed.car_sprites_deleted,マシンのスプライトファイルを直接削除するんじゃない！ 不足ファイルは透明な1x1ピクセルの画像で置き換えたぞ：{0}
dial.ed.remove_car_name_colon,車種名から"{0}"を削除しろ！
dial.ed.car_name_taken,モデル名"{0}"は既に使われているぞ！
dial.ed.car_too_fast,SOFACTレギュレーションでは、チューニング前に速度指数{0}を超える車は認められん！ このマシンの速度指数は{1}だ。パラメータを調整しなおせ！
dial.ed.car_close_confirm,このマシンを閉じるが、本当にいいか？ 保存していない変更は消えるぞ。
dial.ed.car_delete_confirm,本当にマシン"{0}"を削除していいか？
dial.ed.delete_error_no_dir,マシンを削除できん。そんなディレクトリはないぞ：<br>{0}
dial.ed.delete_error_file_open,マシンのディレクトリを削除できん。開いているファイルは、すべて閉じろ。手動でやりなおせ。<br>{0}
dial.ed.save_car_once,スプライトを編集する前に、マシンを一度保存しろ
dial.ed.save_before_reload,マシンを保存してリロードしろ！
dial.ed.no_steam_share_car_err,Steamに接続されていないな。これではマシンを共有できんぞ！
dial.ed.car_share_no_desc,Steamワークショップに公開する前に説明文を入力しておけ！
dial.ed.car_save_first,まずはマシンを保存したまえ！
dial.ed.car_share_err_sprites_missing,マシンは公開できんな。必要なスプライトがない：<br>{0}
dial.ed.car_share_err_sprites_recovered,マシンのスプライトを勝手に削除するな！ 不足しているファイルは透明な1x1ピクセル画像で置き換えた：{0}。これでマシンを公開できるはずだ。
dial.ed.car_save_alien_files,MODディレクトリに属さないファイルは削除したまえ。.png、.txt、item.car のみ許可してやる！ 問題があるファイルは、こいつらだ：{0}
dial.ed.car_share_sprite_warning,警告しておく。スプライトを変更していない場合、マシンは拒否されるぞ！<br>本当に公開するのか？
dial.ed.car_name_not_available,マシン名は使えんぞ: {0}。変更してやり直せ。

dial.ed.path_start_open,オープンコースのスタート位置は移動できんぞ！

dial.factory_reset.confirm,本当に初期化するんだな？

dial.leaderboard.ghost_confirm,{0}のゴーストとレースをするか？
dial.leaderboard.ghost_confirm_daily_stale,本日の記録ではないため、デイリーチャレンジのランキングは更新されん。だが、コースのランキングは更新しておく。

dial.input_reset,開発者によって入力設定の仕様が変更されたようだ。入力設定は初期状態にリセットされる。「設定」>「入力」から変更できるぞ。すまんな。
dial.settings_reset,開発者によってゲーム設定の仕様が変更された。このため、設定は初期状態にリセットされる。手間をかけてすまんな。
dial.stat_reset_dev,開発者により全ステータスがリセットされる。すまんが、手間をかける。
dial.are_you_sure,いいのか？

dial.race.racers_over_limit,1レースに参加できるマシンは最大{0}台までだ！
dial.race.player_remove_confirm,プレイヤー{0}: {1}を消すか？
dial.race.race_alone,タイムアタック以外で単独でのレースは感心せんな。「プレイヤー追加」「+1」「+10」ボタンで対戦相手を追加しろ！
dial.race.no_track,まずはコースを選択したまえ！

dial.race.restart_hardcore,ハードコアモードだ。レースのリスタートはできねえから、肝に銘じておけ！
dial.race.restart_dead,悪いが、誰か死ぬとレースはリスタートできんぞ。レース終了まで待て。救護班が対応する。
dial.race.restart_ped,すまんが、歩行者にはレースをリスタートする権利はやっておらん！
dial.race.restart_confirm,本気か？ 全レースで勝つのは難しい上、リスタートはコストもかかるので感心せん。リスタートには${0}が要るぞ。所持金は${1}だな。
dial.race.restart_no_cash,カネが足りなくてリスタートはできねえな。レースをやり抜けろ。
dial.race.restart_time_attack_confirm,いいのか？ レースで記録した周回タイムが破棄されるぞ！

dial.ed.track_exit_confirm,本当に終了していいか？ 保存されていない変更は全部消えるぞ！
dial.ed.track_new_confirm,本当にいいのか？ 保存されていない変更は全部消えるが。
dial.ed.invalid_objects,道路に近すぎるオブジェクトが{0}個ある。移動か削除しろ。それと、もう一度保存する前にテストドライブをやれ。
dial.ed.enter_track_name,コース名を入力しろ
dial.ed.track_name,コース名
dial.ed.fix_errors_first,コースを保存する前に、検証エラーを修正しておけ！
dial.ed.share_track_no_steam,Steamを接続できていないな。コースは公開できんぞ！
dial.ed.track_invalid_share,画面上部の赤いバナーを確認しろ。マウスを重ねると何が問題か分かるはずだ。
dial.ed.lap_before_upload,おい待て！ アップロードする前にラップタイムを設定しろ。
dial.ed.track_remove_colon,コース名から{0}を消せ！
dial.ed.track_name_clash_builtin,悪いが、別の名前にしろ。組込コースは上書きできん！
dial.ed.track_overwrite_confirm,コース"{0}"は既にあるぞ。上書きしていいか？
dial.ed.track_alien_files,modディレクトリの要らんファイルを消せ：{0}
dial.ed.track_delete_no_undo,本当にコースを消していいか？ 取り消しはできんぞ！
dial.ed.track_quit_confirm,コースエディタを終了していいか？ 保存していない変更は消えるぞ！
dial.ed.track_last_2_points,最後の2つのパス点は削せんぞ！
dial.ed.loop_autoclose,ループを閉じようとしていたな？ 「開く / 閉じる」ツールでも出来るが、今回は我々の方で対応しておいた。

dial.on_success, 達成: {0}
dial.on_fail, 失敗: {0}
dial.tip,ヒント: {0}
dial.confirm,承諾
dial.confirm_in,承諾 ({0:0})
dial.must_do_in_drift,ドリフト走行中に実施する必要あり

dial.reset_tutorials.confirm,全てのヒントを未確認にするか？

dial.confirm_exit_to_desktop,本当に終了してデスクトップに戻るのか？

dial.car_model_unavailable,おい、マシンの{0}はもう使えんぞ！ キャンペーンは続けるか？ 使えなくなったマシンは返金なしで処分されるぞ。

msg.track_high_obj_density,このコースはオブジェクト密度が高いようです ({0:0} / 100m)。初期設定のままだとカスタムキャンペーンの生成時に含まれません！
msg.track_high_crowd_density,このコースは歩行者の密度が高いようです ({0:0} / 100m)。初期設定のままだとカスタムキャンペーンの生成時に含まれません！
msg.cheats_leaderboards,ランキング無効！ゲーム内コンソールチートや物理演算テストを使用しました。再起動で回復します。
msg.track_load_failed,コース読込に失敗。破損しているか利用不可です。再試行するか再生成してください。
msg.race_input_restart_warning,警告：レース中に入力設定を変更した場合、反映するにはレースの再スタートが必要です！
msg.failed_deleting_folder,フォルダ削除に失敗。開いているファイルをすべて閉じてください<br>{0}
msg.missing_car_model,車種が見つかりません。ID: {0}。<br>おそらくサブスクしていないMODか、削除されたカスタムマシンです。
msg.missing_controls,キー設定が不足しています
msg.gen.analyzing_road,道路の曲がり具合を分析中
msg.gen.calculating_lines,レーシングラインを計算中
msg.gen.checkpoints,チェックポイントにセンサーを設置しています
msg.gen.paving_road,道路を舗装しています
msg.gen.deunionizing_workers,道路作業員の労働組合を解散させています
msg.gen.firing_workers,道路作業員をクビにしています
msg.gen.bribing_inspectors,検査官にワイロで買収しています
msg.gen.looking_location,場所を探索中
msg.gen.evicting_residents,住民を立ち退かせています
msg.gen.planting_forests,森林に植樹しています
msg.gen.planting_bushes,茂みを植えています
msg.gen.growing_parks,公園をつくっています
msg.gen.placing_lamps,街灯を設置中
msg.gen.planting_flowers,お花を育てています
msg.gen.cloning_peds,歩行者のクローンを培養しています
msg.gen.cloning_more_peds,さらに歩行者のクローンを培養しています
msg.gen.building_walls,壁を建設しています
msg.gen.building_more_walls,さらに壁を建設しています
msg.gen.rocks,天然の岩石を配置しています
msg.gen.ramps,ジャンプ台を設置しています
msg.gen.barrels,爆発物入りのドラム缶を設置中
msg.gen.puddles,水たまりをぶちまけています
msg.gen.cones_tires,コーンとタイヤを発注しています
msg.gen.buildings,建築物を建てています
msg.gen.special_locs,秘密のロケーションを建設中
msg.gen.road_marks,道路標示を描いています
msg.gen.test_driving,コースでテスト走行しています
msg.gen.screenshot,ドローンで写真を撮影中
msg.gen.cones_left,左側のコーンを整列中
msg.gen.cones_right,右側のコーンを整列中
msg.gen.tires_left,左側のタイヤを配置中
msg.gen.tires_right,右側のタイヤを配置中
msg.gen.end.1,罠を設置しています
msg.gen.end.2,イベントの宣伝をしています
msg.gen.end.3,疲れた道路作業員をクビにしています
msg.gen.end.4,観客を送迎しています
msg.gen.end.5,職人が道路のほこりを散布中
msg.gen.end.6,監視ドローンを充電しています
msg.gen.end.7,ヘリコプターに弾薬を積んでいます
msg.gen.end.8,運営統括のマシンを磨いています
msg.gen.end.9,爆薬の信管を作動させています
msg.gen.end.10,仮設トイレを設置しています
msg.gen.end.11,コーンを磨いています
msg.gen.end.12,オイルを撒いています
msg.gen.end.13,ヘリコプターに燃料補給中
msg.gen.end.14,さらに観客を送迎しています
msg.gen.end.15,道路の穴を埋めています
msg.gen.end.16,ホットドッグを配達中

msg.longest_drift,最長ドリフト
msg.cant_fire_flyers,フロントガラスにチラシが張り付いていると武器は撃てません！
msg.cant_fire_no_gun,武器を装備していないので撃てません！
msg.cant_drop_no_gun,武器を装備していないので解除できません！
msg.close_call,危なーい！！
msg.photo_reward,写真の報酬: ${0}
msg.inflicted_dmg,与ダメージ
msg.dmg_warning,ダメージ警告
msg.over_50_pct,50%以上
msg.over_75_pct,75%以上
msg.jump_completed,ジャンプ成功！
msg.nitro_boost,ニトロブースト
msg.hit_combo,衝突コンボ
msg.final_lap,最終ラップ！
msg.lap_did_not_count,ラップはカウントされません
msg.wrong_way,逆走！
msg.no_reset_start_line,リセットできません、まだスタートラインを通過していません！
msg.no_reset_too_often,マシンの位置をリセットするには少し待ってください！
msg.camera_mode,カメラモード
msg.camera_zoom,カメラズーム
msg.ped_cannon_tip,歩行者と接触するか、キャノンのリロードをお待ちください！
msg.corner_cut,カーブのショートカットペナルティ
msg.get_on_track,コースに戻れ！！
msg.reset_in,マシン位置のリセットまで{0:0.00}秒
msg.offroad_pen,コース外ペナルティ
msg.car_reset,マシン位置リセット
msg.cheating_detected,チート検出！
msg.corner_cut_forgiven.1,カーブのショートカットペナルティを免除。二度とするな！
msg.corner_cut_forgiven.2,カーブのショートカットペナルティが免除。審判が見ていない
msg.ped_sucked_in_cannon,歩行者キャノンに吸い込まれた！
msg.x_invalid_obj,無効なオブジェクトが{0}個あります
msg.wasted,死亡

msg.hard_congrats,おめでとうございます。難易度ハードが解放されました
msg.hardcore_congrats,おめでとうございます。難易度ハードコアが解放されました
msg.no_steam_leaderboard_warn,Steamに接続不能！ ランキングへの記録は保存されません。この問題を修正するにはゲームかSteamクライアントを再起動してください。
msg.motion_speed_adj,モーション速度調整: {0:0.00}x
msg.time_scale_adj,時間倍率: {0:0.00}x
msg.steam_client_photo,Steamクライアント経由でゲームを起動するとスクリーンショットを撮影できます。Steamを使わない場合はデスクトップのスクリーンショットソフトを使ってください
msg.entering_photo_mode,フォトモードに入ります
msg.exiting_photo_mode,フォトモードを終了します
msg.just_upgraded,{0}が{1}に関する改造を実施！
msg.just_bought,たった今{0}が{1}を購入!
# Keep this as short as possible, it will be displayed for 5 seconds in a small speech bubble
msg.tip_available,{Action.ShowTutorial}でヒントを表示

msg.uploading_ghost,ゴーストリプレイをアップロード中
msg.score_not_improved,既存のスコアランキングは更新されませんでした
msg.score_ghost_missing,既存のスコアランキングは更新されませんでしたが、ゴーストデータがありませんでした。現在のゴーストをアップロード中
msg.score_rejected,Steamにより、このランキングのスコア更新が拒否されました
msg.uploading_score,ランキング更新中 ({0}/10 APIコール / 10分)<br>{1}
msg.uploaded_score,ランキング更新に成功 ({0}/10 APIコール / 10分)<br>{1}
msg.upload_fail,ランキング更新に失敗。{2}秒後に再試行します ({0}/10 APIコール / 10分)<br>{1}

load.downloading_score,直近のスコアランキングをダウンロード中
load.downloading_ghost_car,ゴーストカーのデータをダウンロード中
load.launching_battle,バトルを開始中
load.launching_race,レースを開始中
load.starting_race,エンジンをかけています
load.checking_mods,サブスクライブ中のMODをチェック中
load.downloading_mod,MODをダウンロード中: {0} ({1}/{2}bytes)
load.loaded_mod,MOD読み込み完了: {0}
load.screenshotting,コースのスクリーンショットを作成中
load.gen_rand,ランダムコースを生成中
load.track,コースを読み込み中
load.flushing_stats,統計データ更新中
load.flushing_stats_progress,統計データ更新中 ({0} 残り)
load.exiting,終了中
load.insults,ランダムな罵詈雑言を読み込み中
load.avatars,アバターを読み込み中
load.avatar_custom,カスタムアバターを読み込み中: {0}
load.cars,マシンのデータを読み込み中
load.workshop_car_tex,ワークショップから取得したマシンのテクスチャを読み込み中: {0}/{1}
load.car_tex,マシンのテクスチャを読み込み中: {0}/{1}
load.paint_job,塗装データ読み込み中: {0}
load.track_campaign,キャンペーン用コースを読み込み中: {0}
load.custom_tracks,カスタムコースファイルを読み込み中
load.workshop_track,ワークショップコースを読み込み中: {0}
load.workshop_track_missing,ワークショップのコース {0} が見つかりません、登録解除します
load.workshop_car,ワークショップのマシンを読み込み中: {0}
load.custom_track,カスタムコース読み込み中: {0}
load.track_x,コース読み込み中: {0}
load.steam_avatar,Steamアバターを読み込み中: {0}
load.scene,{0}読み込み中

scene.race_setup,レース設定
scene.race,レース
scene.main_menu,メインメニュー
scene.track_editor,コースエディタ
scene.car_editor,マシンエディタ
scene.campaign,キャンペーン
scene.kickstart,初期状態

weapon.ped_cannon,歩行者キャノン
weapon.m2,M2重機関銃
weapon.saw,回転ノコギリ
weapon.nitro_refill,ニトロ補充
weapon.shield,バリア
# Tribute to Mad Max, maybe it's possible to keep the reference?
weapon.mad_fax,マッド・ファックス
# It is a robotic steel hedgehog that is rigged with explosives
weapon.homing_hedgehog,追尾爆雷
weapon.wrench,レンチ
weapon.nailgun,ネイルガン
# Tribute to Quake
weapon.railgun,レールガン
weapon.wrecking_ball,鉄球
weapon.grappling_hook,引っ掛けフック

# TUTORIALS 
# Watch out for the <br>, these are new lines. They must not be removed!

tut.basic_driving.head,マシンの操作
tut.basic_driving.1,- {Action.Accelerate}を長押ししてアクセルで加速しましょう<br>- {Action.Steer}でハンドルを回してステアリング操作を行います<br>- コントローラー使用時は、アクセルやステアリングの感度を調節できます<br>- 操作はコントローラーの方がずっと簡単です！
tut.basic_driving.2,- カーブの曲がり具合を早めに予測しましょう<br>- 急カーブの前では事前に減速しましょう<br>- {Action.Brake}でブレーキをかけましょう<br>- {Action.Accelerate}を押すのをやめて、アクセルをゆるめても速度が落ちます
tut.basic_driving.3,- 曲がりきれずにコースアウトしそうでしたら、ハンドブレーキを使いましょう<br>- {Action.Handbrake}を押してハンドブレーキをかけましょう

tut.camera.head,カメラ制御
tut.camera.1,- カメラのズームや回転モードは複数から選べます<br>- {Action.Zoom}でズームモードを切り替えていきましょう<br>- カメラを望遠にズームアウトすると上空からマシンを見下ろせますが、雲で視界が遮られてしまうことがあります
tut.camera.2,- 近距離までズームするとマシンを間近で確認できます<br>- 前方のコースが短距離しか見えないため、走るのが難しくなるかもしれません<br>- ミニマップを使用してカーブを確認しましょう
tut.camera.3,- {Action.Camera}をクリックしてカメラの回転モードを切り替えましょう<br>- コース位置に固定に指定すると、カメラそのものは一切回転しません
tut.camera.4,- マシンに固定は、マシンがの向きに合わせてカメラも回転します<br>- 自動はマシンとコース位置の中間的な挙動をします<br>- 自分に合ったものを見つけましょう
tut.camera.5,- 設定 -> 操作 で、カメラの標準設定を変更できます<br>- カメラシェイクによる画面の揺れを減らしたい場合は、カメラの振動を調整しましょう

tut.camp.add_racer.head,レーサーの追加と編集
tut.camp.add_racer.1,- このレーサーを誰が操作するかを選択できます：プレイヤーまたはAI<br>- 画面分割では最大4人までプレイ可能です<br>- アバターを変更したり、パソコン内の画像を使用して独自アバターを設定することもできます

tut.camp.advance.head,キャンペーンの進行
tut.camp.advance.1,- おめでとうございます。最初の1週間を生き延びました！<br>- 次に進む準備ができたら、進むのボタンをクリックしましょう<br>- 新しい1週間が生成されます

tut.camp.car_unlock.head,新しいマシンの入手
tut.camp.car_unlock.1,- 購入可能な、もっといいマシンが解放されました！<br>- ガレージに行って確認しましょう
tut.camp.car_unlock.2,- 購入できる中で、一番いいマシンを選びましょう<br>- 購入ボタンをクリックして購入しましょう<br><br>- 購入前なら新しいマシンを塗装できることもお忘れなく

tut.camp.first_car.head,最初のマシン
tut.camp.first_car.1,- あなたはまだマシンを所有していませんが、少しばかりのcashがあります<br>- "マシンを購入"をクリックしてガレージへ行きましょう

tut.camp.first_race.head,最初のレース
tut.camp.first_race.1,- さあ、最初のレースの開幕です！<br>- ステージカードをクリックして始めていきましょう<br>- 生成中の通知を見かけたら、高度に訓練されたサルどもがレースコースの準備をしている最中だと思ってください。その通知が消えるまで、レースを始めようとしないでください。

tut.camp.garage.head,ガレージ
tut.camp.garage.1,- 現在購入できるのは Lionard 125 のみです<br>- レーサーレベルが上がれば新しいマシンが解放されます
tut.camp.garage.2,- 購入前であれば、無料でマシンのカラーを変更できます<br>- 購入後の塗装は有料です

tut.camp.racer_setup.head,レーサーを作成しましょう
tut.camp.racer_setup.1,- レーサーのアバターを選びましょう。パソコン内の画像からカスタムアバターも使用可能です<br>- レーサー名を入力してください。もしくはランダム生成をクリックしましょう。<br>- 声の高さを選択しましょう。ダイアログのセリフ表示音に影響します。<br>- そうしたら、登録をクリックしてください

tut.camp.season_lineup.head,シーズン一覧
tut.camp.season_lineup.1,- こちらでシーズンのラインナップをカスタマイズしたり、画面分割でプレイするマルチプレイヤーキャンペーンを設定できます<br>- レーサーの編集アイコンをクリックし、名前、アバター、スキルレベルを編集できます<br>- レーサーの ｘアイコン をクリックすると削除します。レーサー数は固定なので、削除すると新しいレーサーに置き換わります

tut.camp.stage_rewards.head,ステージ報酬
tut.camp.stage_rewards.1,- レースが終了すると、あなたの行動に応じた報酬がもらえます<br>- 報酬の項目で色がついているものは、より価値が高いことを意味します
tut.camp.stage_rewards.2,- デフォルトではプレイヤーの報酬しか表示されません<br>- 全レーサー をクリックすると、全レーサーの報酬を見ることができます

tut.camp.car_upgrades.head,マシン強化
tut.camp.car_upgrades.1,- 新しいマシンのアップグレードが解放されました<br>- パーツアイコンをクリックするとアップグレード画面が開きます<br>- アップグレード可能なパーツには上矢印のアイコンが表示されます
tut.camp.car_upgrades.2,- 価格ボタンをクリックし、アップグレードを購入しましょう<br>- レベルが上がれば、さらに多くのアップグレードが解放されます

